title,artist,album,isrc,isFound
I've Got My Mind Set On You,Various Artists,Caprice! The Story Behind Gerry Granahan's Caprice Label 1960 - 1963,USA371039152,1
Rasputin,Boney M.,Daddy Cool,DED160000010,1
Who Want The Smoke?,"Lil Yachty, Cardi B, Offset",Who Want The Smoke?,USUG11801411,1
Lady (Hear Me Tonight),Modjo,Modjo (Remastered),FR9W10100535,1
Bailando (Video Edit),Paradisio,Bailando,BEP789688132,1
Self Control,Frank Ocean,Blonde,QZ5C81600007,1
Don't Stand So Close to Me,The Police,Zenyatta Mondatta (Remastered 2003),GBAAM0201148,1
P.S Fuck You Cunt (feat. Lil Peep),Fat Nick,When the Lean Runs Out,TCACO1693945,1
Gator Skin,EBZ,Gator Skin,USHM21830860,1
Dead to Me,Terror Reid,Dead to Me,TCADJ1710104,1
G Double O D (feat. $Uicideboy$),"Swag Toof, $uicideBoy$",IV (Foe) & IV:II (Foe Deux),TCACP1622785,1
Incomplete Kisses,Sampha,Process,UK7MC1600034,1
Philanthropist,The Underachievers,Indigoism,USA2P1327563,1
Hive [Explicit Version],Earl Sweatshirt,Doris,USQX91301103,1
Forever and a Day,Freddie Gibbs,Shadow of a Doubt,USUYG1083063,1
Twofifteen,Black Thought,Streams of Thought Vol. 1,QM24S1814827,1
Redline Reaper,Triple One,Redline Reaper,TCADN1853675,1
Drop Solo,Olivia Belli,Ludovico Einaudi: Extra Elements,GBKPL1803718,1
Know the Real,Jooba Loc,The Come Up,USDHM1711111,1
Omg,RJmrLA,O.M.M.I.O 3,USUYG1146583,1
"Plug Walk (Remix) [feat. Gucci Mane, YG & 2 Chainz]",Rich The Kid,"Plug Walk (Remix) [feat. Gucci Mane, YG & 2 Chainz] - Single",USUM71807691,1
Drug Addicts,Lil Pump,Drug Addicts,USWB11800962,1
Up in the Clouds - Instrumental,RJD2,"In Rare Form, Vol. 2",QM4TX1884875,1
Movement,Oliver Tree,Movement,USAT21802124,1
Nutcrackers,"Wiki, Lakutis",No Mountains In Manhattan,GBBKS1700275,1
Hop out the Pussy I'm 21,"JPEGMAFIA, Freaky",The 2nd Amendment,USGWZ1710121,1
Great Dane,Cosmo Pyke,Just Cosmo,GBKPL1777114,1
Figaro,"Madvillain, Madlib  MF DOOM",Madvillainy,US2S70465014,1
When I'm Down,Whethan Oliver Tree,When I'm Down - Single,QM24S1650256,1
Rotisserie,Yung Gravy bbno$,Baby Gravy - EP,TCADH1736041,1
Welcome to the Rodeo,Lil Skies,Life of a Dark Rose,USAT21705303,1
Let It Rain,Shy Glizzy,Young Jefe 2,QMCE31600646,1
CharacterSelect (ВыборПерсонажа),BONES,CARCASS,CA5KR1707887,1
Contraband,Night Lovell,Red Teenage Melody,QM4DW1763552,1
Bulletproof,Brennan Savage,Bulletproof - Single,TCADD1769517,1
No Kind Words,The Maccabees,Wall Of Arms (Deluxe Edition),GBUM70902317,1
Equalizer,Denzel Curry,13,USC4R1702165,1
1999 WILDFIRE,BROCKHAMPTON,1999 WILDFIRE - Single,USRC11802708,1
You Can Cry (THRDL!FE Remix),"Marshmello, Juicy J  James Arthur",You Can Cry (Remixes),USQX91801496,1
ABG,Quando Rondo,Life B4 Fame,USAT21802659,1
Candles,Juice WRLD,Goodbye & Good Riddance,USUG11800947,1
Plug Walk,Rich The Kid,The World Is Yours,USUM71800892,1
Biking,Frank Ocean,Biking,QM24S1701050,1
Lost Boys,Still Corners,Dead Blue,TCACP1648171,1
Lines,"Big Boi, A$AP Rocky, Phantogram",Vicious Lies and Dangerous Rumors (Deluxe),USUM71215455,1
10 Bands,Drake,If You're Reading This It's Too Late,USCM51500014,1
Blues' Brothers,Boycott Blues,Irony,US4UZ0910209,1
Violet (The Upper Room),Cunninlynguists,Rose Azura Njano,USZEG1600761,1
Lean,LAWS,Lean,QMEZE1719245,1
Ready or Not,Fugees,The Score (Expanded Edition),USSM19600051,1
WW1 Portraits,The Maccabees,Marks To Prove It,GBUM71502660,1
Can You Give It,The Maccabees,Wall Of Arms,GBUM70901014,1
Jimmy Brown (Early Version of Bring On The Dancing Horses),Echo & the Bunnymen,Echo & the Bunnymen,GBAHT0300156,1
Dreaming of You,The Coral,The Coral,GBETG0202031,1
She's So Loose,Supergrass,I Should Coco,GBAYE9500005,1
Glock 22,"SOB X RBE, Big Money",Tutuland,USUYG1200766,1
Barbie,Azizi Gibson,Barbie,TCADQ1893688,1
Russian Cream,Roy Woods,Russian Cream,USWB11801174,1
The Card Cheat,The Clash,London Calling,GBARL1200693,1
Feel the Love,Kids See Ghosts,Kids See Ghosts,USUM71808242,1
Young Man,"WELL$, Sylvan Esso",Young Man,USA2P1686624,1
Virus://Vibrance,Vein,Virus://Vibrance,QM4TW1817266,1
Mother,Idles,Brutalism,GBKPL1675000,1
Well Done,Idles,Brutalism,GBKPL1670564,1
Doomtech,Vein,Errorzone,QM4TW1817272,1
Scrape,Unsane,"Scattered, Smothered & Covered",USY251632873,1
350 Rocket,Impxct,One of a Kind,USUYG1131962,1
Posing Holy,Touché Amoré,Stage Four (Deluxe Edition),USEP41614009,1
Love Will Tear Us Apart,Joy Division,The Ultimate Collection - Rock,GBAAP9700227,1
Horses at Night,Still Corners,Horses at Night,TCACK1541861,1
Umbrella,Tsunenori,FANTASTIC JOURNEY,TCJPC1538215,1
Slow Hours,weird inside,Slow Hours,QM2PV1650123,1
Dirty Taurus,Charlie Heat  Ant Beale,No Rain No Flowers,QM24S1700154,1
The 1975,The 1975,The 1975,GBK3W1901062,1
Milk,The 1975,Milk,GBK3W1000298,1
Less Than I Do,The Band CAMINO,Less Than I Do,QM24S1845581,1
Fake Plastic Trees,Radiohead,The Bends,GBAYE9400056,1
Remember the Rain,Kadhja Bonet,Remember the Rain,USDY41567967,1
Hunnybee,Unknown Mortal Orchestra,Sex & Food,US38Y1832204,1
Dead and Gone,DRAMA,Dead and Gone,GBKPL1831680,1
Can't Believe The Way We Flow,James Blake,Assume Form,GBUM71807974,1
Better,Khalid,Suncity,USRC11803180,1
Holocene,Bon Iver,Bon Iver,US38Y1113503,1
Sexotheque,La Roux,Trouble In Paradise,GBUM71402165,1
I’m A Stranger Now,The Tallest Man On Earth,I Love You. It's a Fever Dream.,GBWWP1904726,1
Controller,Channel Tres,Controller - Single,QM38F1800007,1
One Missed Call,PJ,One Missed Call - Single,USAT21901447,1
Johnny It's the Last Time,Raveena,Kitsuné Hot Stream: Johnny It's the Last Time,TCACP1657186,1
Late Night Feelings - Channel Tres Remix,"Mark Ronson, Lykke Li, Channel Tres",Late Night Feelings (Channel Tres Remix),GBARL1900583,1
SYLVIA (feat. 2forwOyNE),"Jack Harlow, 2forwOyNE",Loose,USAT21810745,1
Appropriate Violence,Aby Wolf,Wolf Lords,USCGH1332701,1
Half Love,Red Hearse,Half Love,USRC11901165,1
Two Weeks,FKA twigs,LP1,GBBKS1400227,1
The Photograph,Still Corners,Slow Air,QZCWY1800009,1
Topdown,Channel Tres,Channel Tres - EP,QM38F1800013,1
Home,Maribou State,Portraits,GBCFB1500100,1
Feels Like We Only Go Backwards,Tame Impala,Lonerism,AUUM71200493,1
Fly (FKJ Remix),June Marieezy,Fly (Remixes) - Single,FR9W11502176,1
I Wish I Could Sleep,Nymano,Chillhop Essentials Winter 2016,TCACU1638228,1
Keys,Strand of Oaks,Eraserland,USJ5G1817103,1
PONY,Aries,WELCOME HOME,QZES61933058,1
Sweet Annie,Zac Brown Band,Uncaged,USAT21202676,1
Make It Better,Anderson .Paak,Ventura,ZZOPM1900900,1
The Dead Don't Die,Sturgill Simpson,The Dead Don't Die,USAT21903303,1
Don't Miss It,James Blake,Assume Form,GBUM71802820,1
Painter In Your Pocket,Destroyer,Destroyer's Rubies,USMRG0649038,1
"Heavy, California",Jungle,"Heavy, California - Single",GBBKS1800098,1
Tadow,Masego/FKJ,Tadow,QM24S1703810,1
Afro Blue,Robert Glasper Experiment,Black Radio,USBN21100478,1
"Have You Heard?, Pt. 1",The Moody Blues,This Is the Moody Blues,GBA176900130,1
Dysfunctional,KAYTRANADA VanJess,Dysfunctional - Single,USRC11900815,1
Brilliant Nigga,Channel Tres,Brilliant Nigga - Single,QM38F1900001,1
Overnight (feat. Trombone Shorty),Zac Brown Band,Uncaged,USAT21202678,1
Winners Circle,Anderson .Paak,Ventura,ZZOPM1900902,1
Slow Learner,Viagra Boys,Street Worms,SE5AJ1600454,1
I Ain't Living Long Like This,Viagra Boys,Street Worms (Deluxe Edition),SE5AJ1900671,1
Down in the Basement,Viagra boys,Street Worms,SE5AJ1600453,1
Sports,Viagra Boys,Sports,SE5AJ1600455,1
Best in Show,Viagra Boys,Street Worms,SE5AJ1600456,1
Just Like You,Viagra Boys,Just Like You,SE5AJ1600457,1
Badboi,Triple One,Badboi,QM6P41918385,1
Gold Roses (feat. Drake),Rick Ross,Gold Roses (feat. Drake) - Single,USSM11904574,1
Time Flies,Rico Nasty,Time Flies - Single,USAT21904105,1
Never Change,"Retch, Gu Mitch",GuWiiMoney,USLD91720066,1
Magic,Lil Skies,Magic - Single,USAT21904050,1
Cheyenna,The 69 Eyes,West End,FIHVA1900006,1
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,Complete,GBCRL1100054,1
How Soon Is Now? (2011 Remaster),The Smiths,Hatful of Hollow,GBCRL1100068,1
Shoplifters of the World Unite (2011 Remaster),The Smiths,Louder Than Bombs,GBCRL1100077,1
A Letter to Elise,The Cure,Wish,GBALB9200003,1
Burn,The Cure,The Crow Original Motion Picture Soundtrack,USAT20180654,1
Inbetween Days,The Cure,The Head On the Door (Deluxe Edition),GBALB8500001,1
Cut,The Cure,Wish,GBF069290010,1
Shrimp Shack,Viagra Boys,Street Worms,SE5AJ1600458,1
XO TOUR Llif3,Lil Uzi Vert,Luv Is Rage 2,USAT21703440,1
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,QMCE31600796,1
Ps & Qs,Lil Uzi Vert,Lil Uzi Vert Vs. The World,USAT21601723,1
ITSPULLUP,GrandeMarshall,My Brother's Keeper,QMSDU1500115,1
Private Ceremony,Der Noir,A Dead Summer (Special Edition),ITPA41100012,1
In Dreams,Ben Howard,I Forget Where We Were,GBUM71404290,1
Bad Bad News,Leon Bridges,Good Thing,USSM11800491,1
Humming,Turnover,Peripheral Vision,QMCE71300247,1
Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph),Gucci Mane,Mr. Davis,USAT21703235,1
Takin' Shots,Post Malone,beerbongs & bentleys,USUM71805168,1
Northern Sky,Nick Drake,Bryter Layter,GBAAN7000016,1
Thorns,Pallbearer,Thorns,USN681710002,1
Ghostface Killers (feat. Travis Scott),21 Savage,Without Warning,QZ45A1700062,1
Little by Little,Lane 8,Little by Little,FRX201711791,1
American Daydream,Electric Guest,Troubleman,USCJ81100713,1
Filler,Minor Threat,First Two Seven Inches,US35U1301201,1
New Scream,Turnover,Peripheral Vision,QMCE71300246,1
Rage,Rico Nasty,Nasty,USAT21802217,1
I Want Wind To Blow,Microphones,"The Glow, Pt. 2",USI4R1130481,1
Smoke,Sam Fischer,Smoke,TCADL1806080,1
Soapbox,Cyne,Evolution Fight,DEX700500029,1
This Is Transcendence,Ritual Howls,Their Body,QMGEB1704615,1
Another One,Cdot Honcho,Takeover,QM42K1749625,1
Song for Zula,Phosphorescent,Muchacho,USJ5G1305002,1
Fbg,SUSPECT,Fbg,GBKPL1674587,1
My War,Black Flag,My War,USA370538481,1
MICHUUL.,DUCKWRTH,an XTRA UUGLY Mixtape,USUM71709180,1
One of These Things First,Nick Drake,Bryter Layter,GBAAN7000015,1
You Know I'm No Good,Amy Winehouse,Back To Black,GBUM70603488,1
Get Shot,"Masta Ace, Marco Polo, Masta Ace Marco Polo",A Breukelen Story (Deluxe Edition),US6680915562,1
If I Don't Have You,Mando Diao,Ælita,SEYBD1300114,1
Whirl,Soft Kill,Choke,USN681610101,1
HigherThanClouds,Flitz&Suppe,Mirage,DEQ121746020,1
'Round Midnight,E.S.T.,Plays Monk,SELED9601020,1
Learn How to Watch (feat. MAC MILLER & MadeinTYO),Carnage,Learn How to Watch (feat. MAC MILLER & MadeinTYO) - Single,USA2P1800260,1
The Shrine / An Argument,Fleet Foxes,Helplessness Blues,GBBRP1128310,1
May I Have This Dance,Francis and the Lights,"Farewell, Starlite!",TCACS1619639,1
Back To Black [Mushtaq Vocal Remix],Amy Winehouse,Back to Black,GBUM70604698,1
Spy,Code Orange,Forever,NLA321600212,1
Our Hearts Of Ruin,Blue Sky Black Death,Noir,USA2B1104001,1
Turned to Stone,Harm's Way,Rust,QM6N21428292,1
Push The Feeling On - The Dub Of Doom,Nightcrawlers,Cream Superclub Classics,GBAAN0300597,1
Skuggorna kommer,Hurula,Live Från Ebbots Ark,SEVGT1701733,1
What Is It About Men,Amy Winehouse,Frank,GBAAN0300411,1
Just the Way You Are,Barry White,Barry White: The Collection,USUMG0000035,1
Black Paint,Death Grips,Year Of The Snitch,USUG11801015,1
Jet,Citizen,As You Please,QMCE71301470,1
In My Bed,Amy Winehouse,Frank,GBAAN0300408,1
Snowflake,Malachai,Ugly Side Of Love,GBCEL0900463,1
Powerglide (feat. Juicy J),Rae Sremmurd,Powerglide (feat. Juicy J),USUM71802281,1
Mo Bamba,Sheck Wes,MUDBOY,QM24S1703585,1
October Song,Amy Winehouse,Frank,GBAAN0300469,1
I Want (feat. 2 Chainz),MadeinTYO,You Are Forgiven,QM4HH1610012,1
Ghost Town (feat. PARTYNEXTDOOR),Kanye West,ye,USUM71807761,1
Eleven:11,Pell,Floating While Dreaming,USQY51481759,1
Bubblin [Remix],Anderson .Paak,Bubblin,ZZOPM1800181,1
Mote,Sonic Youth,Goo,USGF19029705,1
Beatcity,Still Corners,Strange Pleasures,USSUB1203509,1
In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,USMRG0316017,1
16 Psyche,Chelsea Wolfe,Hiss Spun,USQY51740501,1
Taste (feat. Offset),Tyga,Taste (feat. Offset) - Single,USUYG1198482,1
So Conceited (feat. Lil Tracy),ChrisTravis,,TCADK1787247,1
"Stormy Love, NM.","ZHU, JOY.",RINGOS DESERT,USYBL1800640,1
These 3 Things,Ought,Room Inside the World,USMRG1860804,1
No Fear of Hellfire,Nap Eyes,Whine of the Mystic,QM5L81500009,1
Vex,Chelsea Wolfe,Hiss Spun,USQY51740502,1
Benz Friendz (Whatchutola),Future,Honest,USSM11401391,1
COOLEST MONKEY IN THE JUNGLE (feat. SahBabii),Ski Mask the Slump God,BEWARE THE BOOK OF ELI,USUM71806180,1
Oh Devil,Electric Guest,Plural,USUM71614152,1
Revelations,The Underachievers,Indigoism,USA2P1327564,1
Ben's My Friend,Sun Kil Moon,Benji,USA2B1400045,1
Tenderness,Parquet Courts,Wide Awake!,GBCVZ1700231,1
The Thrill Is Gone - Live,Solange,The Thrill Is Gone,USZXT1056356,1
Let The Music Play,Barry White,Barry White - The Collection,USIR20200274,1
We Will Never Die,GoldLink,At What Cost,USRC11700603,1
Do Not Disturb (feat. Lil Yachty & Offset),Smokepurpp Murda Beatz,Bless Yo Trap,USUM71803787,1
Play for Keeps,"La Capone, Rondonumbanine",The Music Scene,TCADH1799935,1
Do It Big,Young Scooter,Trippple Cross,USUYG1182578,1
Save Me,Meek Mill,Wins & Losses (Deluxe),USAT21702916,1
Catch it,Iceage,Beyondless,USMTD1811134,1
Elevation of Love,E.S.T.,Seven Days of Falling,SELED0306070,1
Rose on Top of the World,The Men,Drift,US5NR1819104,1
Diazepam,Turnover,Peripheral Vision,QMCE71300250,1
Desire,Ought,Room Inside the World,USMRG1860805,1
Sticky,Ravyn Lenae,Crush EP,USAT21705065,1
If It Feels Good (Then It Must Be),Leon Bridges,Good Thing,USSM11800496,1
Angeles,Elliott Smith,Either/Or,USKRS0326909,1
BagBak,Vince Staples,Big Fish Theory,USUM71700511,1
Skin,Zola Jesus,Conatus,US5NR1176210,1
Money,Jerry Folk,Money,TCADB1793173,1
The Waitress,Atmosphere,"When Life Gives You Lemons, You Paint That Shit Gold (Bonus Video Version)",USBWK0700178,1
Ronald Reagan Era,Kendrick Lamar,Section.80,USUYG1008106,1
Blue Spotted Tail,Fleet Foxes,Helplessness Blues,GBBRP1128311,1
Great,IDLES,Joy as an Act of Resistance.,USBQU1800059,1
Lil Favorite,"Ty Dolla $ign, MadeinTYO",Beach House 3 (Deluxe Edition),USAT21703932,1
Ninelie (with chelly),"Aimer, Chelly",Ninelie - EP,JPU901600638,1
Electric Love,BØRNS,Dopamine,USUM71416307,1
Westside Bound 3,Saba,Bucket List Project,USUYG1115897,1
Midnight Drive,Still Corners,Strange Pleasures,USSUB1203510,1
Criminal,Prof,Criminal,USBWK1700226,1
CIRCLONT6A [Syrobonkus Mix],Aphex Twin,Syro,GBBPW1400093,1
Sumo [Zumo],Denzel Curry,TA13OO,USC4R1802381,1
Headstone,Flatbush Zombies,Headstone,QZ2D51800027,1
What Would Meek Do?,Pusha T,DAYTONA,USUM71807355,1
King of a One Horse Town,Dan Auerbach,Waiting on a Song,QZ6SA1600005,1
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,USUG11800685,1
Between the Bars,Elliott Smith,Either/Or,USKRS0326904,1
Museum Of Flight,Damien Jurado,Maraqopa,US38W1225009,1
Pearly Gates,U.S. Girls,In a Poem Unlimited,GBAFL1700331,1
In the Club,Roy Woods,Say Less,USWB11702259,1
3Hunna,Chief Keef,Young & Flexin,FR5R00903259,1
Big Brother,Kanye West,Graduation,USUM70749099,1
Illusions,The Underachievers,Evermore: The Art Of Duality,QMEU31507743,1
6.24,"Carpenter Brut, Danger, The Toxic Avenger, Lorn, Scattle, Waveshaper Kn1ght",Furi (Original Game Soundtrack),FR9W11612089,1
(I Got A) Catholic Block,Sonic Youth,Sister,USIR10000966,1
Wishing Well,weird inside,As We Know,QMPKX1640233,1
Nights (I Wish I Could Be There),Home,Odyssey,QM4DW1607615,1
Bikeage,Descendents,Somery,USA370538808,1
24,IDK,Is He Real?,USWB11901647,1
Purple Feelings,Jerry Folk,Purple Evenings,TCADA1776421,1
"Don't Think Twice, It's All Right",Bob Dylan,The Freewheelin' Bob Dylan,USSM19922903,1
Stop Calling Us Horrorcore,$uicideBoy$,Radical $uicide,QM8DG1601023,1
