spotify_track_uri,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,reason_start,reason_end,shuffle,skipped,offline
spotify:track:026pfPaB52WIGawu0PzN5j,2023-12-15 11:31:00+00:00,willexmen,ios,198934,SE,83.191.119.210,unknown,Road Of The Lonely Ones,Madlib,Sound Ancestors,trackdone,fwdbtn,True,True,True
spotify:track:3Qp63Kbrm8pWelXaA9M4uc,2023-12-15 11:31:03+00:00,willexmen,ios,2577,SE,83.191.119.210,unknown,Kwame Nkrumah,Kojey Radical,23Winters,fwdbtn,fwdbtn,True,True,True
spotify:track:646sbFnyVg1trhqqxqFUJg,2023-12-15 11:31:07+00:00,willexmen,ios,4063,SE,83.191.119.210,unknown,Walkin,Denzel Curry,Walkin,fwdbtn,fwdbtn,True,True,True
spotify:track:6q1OTBE6VFcJDmysQj0eaG,2023-12-15 11:31:09+00:00,willexmen,ios,1532,SE,83.191.119.210,unknown,Photomaton,Jabberwocky,Lunar Lane,fwdbtn,fwdbtn,True,True,True
spotify:track:3dik6P9rxGTsdDB5x42jqs,2023-12-15 11:34:10+00:00,willexmen,ios,182429,SE,83.191.119.210,unknown,PA PA,Macky,PA PA,fwdbtn,trackdone,True,False,True
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-12-15 11:35:22+00:00,willexmen,ios,70934,SE,83.191.119.210,unknown,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,trackdone,backbtn,True,True,True
spotify:track:3dik6P9rxGTsdDB5x42jqs,2023-12-15 11:35:25+00:00,willexmen,ios,2716,SE,83.191.119.210,unknown,PA PA,Macky,PA PA,backbtn,fwdbtn,True,True,True
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2023-12-15 11:35:29+00:00,willexmen,ios,3808,SE,83.191.119.210,unknown,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,HEROES & VILLAINS,fwdbtn,fwdbtn,True,True,True
spotify:track:0Kme9kGRMhb9AwsTjXJHFY,2023-12-15 11:35:35+00:00,willexmen,ios,5387,SE,83.191.119.210,unknown,23 til infinity,They Are Gutting a Body of Water,s,fwdbtn,fwdbtn,True,True,True
spotify:track:09OvHPSQFbUI3a9zcs1rr2,2023-12-15 11:35:55+00:00,willexmen,ios,20712,SE,83.191.119.210,unknown,yeaaaa - Rolling Thrax Remix,svntana,yeaaaa,fwdbtn,fwdbtn,True,True,True
spotify:track:7xVgtzZyidBegrjf6npTjW,2023-12-15 11:35:59+00:00,willexmen,ios,3877,SE,83.191.119.210,unknown,"Bando Diaries (Remix) [feat. ONEFOUR, Kekra, Noizy & DIVINE]",dutchavelli,"Bando Diaries (Remix) [feat. ONEFOUR, Kekra, Noizy & DIVINE]",fwdbtn,fwdbtn,True,True,True
spotify:track:18LnabLnAb1ZjRbZx4JTLa,2023-12-15 11:39:46+00:00,willexmen,ios,227552,SE,83.191.119.210,unknown,The Easy Way,Code Orange,Underneath,fwdbtn,trackdone,True,False,True
spotify:track:2bH8OT3zf2AObI3mL4GLNW,2023-12-15 11:41:28+00:00,willexmen,ios,100440,SE,83.191.119.210,unknown,Metamorphosis II,Philip Glass,"Glass: Glassworlds, Vol. 3",trackdone,fwdbtn,True,True,True
spotify:track:1BmuQxYra00fufQMPfEolE,2023-12-15 11:45:35+00:00,willexmen,ios,248000,SE,83.191.119.210,unknown,Maddafakka,Frej Larsson,Ketamina Ballerina,fwdbtn,trackdone,True,False,True
spotify:track:3qIxnOusGoTpHvNVMLHscw,2023-12-15 11:54:38+00:00,willexmen,ios,180062,SE,83.191.119.210,unknown,Tropical,SL,Tropical,trackdone,trackdone,True,False,True
spotify:track:0nsIevK1SeDfZzDOi6Si75,2023-12-15 12:00:05+00:00,willexmen,ios,75809,SE,83.191.119.210,unknown,Crush,Ethel Cain,Inbred,trackdone,fwdbtn,True,True,True
spotify:track:1WdvlNe4W8fKgBKb07UXKY,2023-12-15 12:00:41+00:00,willexmen,ios,36478,SE,83.191.119.210,unknown,M.O.M,Spillage Village,Bears Like This Too Much,fwdbtn,fwdbtn,True,True,True
spotify:track:1h0rO09ge3AIZ7TYIkKJss,2023-12-15 12:01:10+00:00,willexmen,ios,29326,SE,83.191.119.210,unknown,Virgo,Atmosphere,Mi Vida Local,fwdbtn,fwdbtn,True,True,True
spotify:track:0YOMohOG3vq1sEIYGktSuF,2023-12-15 17:19:30+00:00,willexmen,ios,319419,SE,83.252.48.221,unknown,Weird Ways,Strand of Oaks,Eraserland,fwdbtn,fwdbtn,True,True,True
spotify:track:3hdWtlY4bawZp7Zf8bz27b,2023-12-15 17:22:16+00:00,willexmen,ios,166800,SE,83.252.48.221,unknown,LIE TO ME SOME MORE,EST Gee,MAD,fwdbtn,trackdone,True,False,True
spotify:track:55LnC7VuUvayQ3fW0CvDL6,2023-12-15 17:22:25+00:00,willexmen,ios,7894,SE,83.252.48.221,unknown,Grandfather please stand on the shoulders of my father while he's deep-sea fishing (feat. RIOPY),Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,trackdone,endplay,True,True,True
spotify:track:6RIbiMwg1QbFTq4dcJGQqq,2023-12-15 17:22:31+00:00,willexmen,ios,4852,SE,83.252.48.221,unknown,Дворы,ssshhhiiittt!,Зло,clickrow,endplay,True,True,True
spotify:track:7ajdzHBdKtQY1Q99BwfeVa,2023-12-15 17:22:44+00:00,willexmen,ios,11911,SE,83.252.48.221,unknown,Спортивные очки,Buerak,Пролетариат,clickrow,endplay,True,True,True
spotify:track:7IQH82RBzyF2akVyMuXurB,2023-12-15 17:22:47+00:00,willexmen,ios,2879,SE,83.252.48.221,unknown,Distance,Soilwork,Stabbing the Drama,playbtn,fwdbtn,True,True,True
spotify:track:6LQDk6Vm8ssBbHzKWo7ELm,2023-12-15 17:26:21+00:00,willexmen,ios,213762,SE,83.252.48.221,unknown,Goat Talk,BigWalkDog,Goat Talk,fwdbtn,fwdbtn,True,True,True
spotify:track:0czwbyZOK050ZzmrQqWnLI,2023-12-15 17:29:19+00:00,willexmen,ios,179413,SE,83.252.48.221,unknown,Piece of Cake,Peezy,Mud Sweat & Tears,fwdbtn,trackdone,True,False,True
spotify:track:6CwadkgspvtRGHU6zJV004,2023-12-15 17:31:48+00:00,willexmen,ios,148010,SE,83.252.48.221,unknown,Gram And A Hoodie,Wacotron,Smokin Texas,trackdone,trackdone,True,False,True
spotify:track:0o4FDGWQApAhJDiNm9ppne,2023-12-15 17:34:17+00:00,willexmen,ios,149182,SE,83.252.48.221,unknown,GGTM,Sarettii,Come Alive,trackdone,trackdone,True,False,True
spotify:track:0t9xWanfFQgYsxTQ6fV0pH,2023-12-15 17:36:58+00:00,willexmen,ios,160373,SE,83.252.48.221,unknown,Bottom of the Pot,Key Glock,Glockoma,trackdone,trackdone,True,False,True
spotify:track:3JXebpWufTcs8iegiRCBW7,2023-12-15 17:39:38+00:00,willexmen,ios,159240,SE,83.252.48.221,unknown,Tick Tock,Young Thug,Tick Tock,trackdone,trackdone,True,False,True
spotify:track:46wHJQTUNECtyx33SgSbPY,2023-12-15 17:42:49+00:00,willexmen,ios,189923,SE,83.252.48.221,unknown,Who Is Him (feat. Pooh Shiesty),Gucci Mane,Trap God Classics: I Am My Only Competition,trackdone,trackdone,True,False,True
spotify:track:3OePAyHePd68TTKmy2hjq0,2023-12-15 17:46:00+00:00,willexmen,ios,190732,SE,83.252.48.221,unknown,Put On,Jeezy,The Recession,trackdone,fwdbtn,True,True,True
spotify:track:0tISnxqgVmxqhVghsTi2Rr,2023-12-15 17:49:17+00:00,willexmen,ios,197746,SE,83.252.48.221,unknown,With Them,Young Thug,Slime Season 3,fwdbtn,trackdone,True,False,True
spotify:track:4CH18IBgxzC4uTeDXROLow,2023-12-15 17:52:46+00:00,willexmen,ios,208222,SE,83.252.48.221,unknown,Always,SOB X RBE,GANGIN,trackdone,trackdone,True,False,True
spotify:track:5XL1A1u2h0soVQtoUa8NdS,2023-12-15 17:55:00+00:00,willexmen,ios,133700,SE,83.252.48.221,unknown,Dog Sht,BigWalkDog,Dog Sht,trackdone,trackdone,True,False,True
spotify:track:0jkeRqlWciqKxU3iHQfdWj,2023-12-15 17:56:39+00:00,willexmen,ios,97960,SE,83.252.48.221,unknown,Seen It All,Jeezy,Seen It All: The Autobiography,trackdone,fwdbtn,True,True,True
spotify:track:6e7VjMcOvEiF6no2bTxcGb,2023-12-15 17:58:56+00:00,willexmen,ios,137410,SE,83.252.48.221,unknown,Riata Dada,EST Gee,Bigger Than Life Or Death,fwdbtn,trackdone,True,False,True
spotify:track:72yUxdefdWCU5aAe31t4fb,2023-12-15 18:01:33+00:00,willexmen,ios,156472,SE,83.252.48.221,unknown,MainStream Tron,BabyTron,Megatron,trackdone,trackdone,True,False,True
spotify:track:6NGsEP6u23ocnc44PGyYdY,2023-12-15 18:04:37+00:00,willexmen,ios,182946,SE,83.252.48.221,unknown,DROP TOP,EST Gee,MAD,trackdone,trackdone,True,False,True
spotify:track:6KmHvU47HBaYleXZsPWkCx,2023-12-15 18:08:37+00:00,willexmen,ios,240535,SE,83.252.48.221,unknown,I Don't Know Dem,Chief Keef,Back from the Dead,trackdone,trackdone,True,False,True
spotify:track:1L0M8Uj3aI6IQQNi6Nghvn,2023-12-15 18:12:41+00:00,willexmen,ios,228906,SE,83.252.48.221,unknown,Pull Up Wit Ah Stick (feat. Loso Loaded),SahBabii,S.A.N.D.A.S.,trackdone,trackdone,True,False,True
spotify:track:6q0JS7CqBWQT2JGQYgBCEa,2023-12-15 18:17:06+00:00,willexmen,ios,263224,SE,83.252.48.221,unknown,Need a Lighter (feat. 21 Savage),Lightshow,Life Sentence 3,trackdone,trackdone,True,False,True
spotify:track:7GEidxhfGNteiW9n0kLyxH,2023-12-15 18:22:46+00:00,willexmen,ios,340480,SE,83.252.48.221,unknown,"Move That Dope (feat. Pharrell, Pusha T & Casino)",Future,Honest,trackdone,trackdone,True,False,True
spotify:track:1XI5uLRKZFPohL9mzfSECQ,2023-12-15 18:25:53+00:00,willexmen,ios,186666,SE,83.252.48.221,unknown,Day in the Life,BigWalkDog,Day in the Life,trackdone,trackdone,True,False,True
spotify:track:7rwijx2xejRaPkEXUftI11,2023-12-15 18:28:15+00:00,willexmen,ios,141360,SE,83.252.48.221,unknown,SOM DOM,Sarettii,SOM DOM,trackdone,trackdone,True,False,True
spotify:track:1c8Gyk9D3zkHmsGYKtJyGt,2023-12-15 18:32:32+00:00,willexmen,ios,252453,SE,83.191.119.210,unknown,Say Goodbye,I Killed The Prom Queen,Music for the Recently Deceased (Tour Edition),trackdone,trackdone,True,False,True
spotify:track:0hPLZrnDgtKxrym1BHjDhd,2023-12-15 18:36:27+00:00,willexmen,ios,205351,SE,83.252.48.221,unknown,can't leave without it,21 Savage,i am > i was,trackdone,trackdone,True,False,True
spotify:track:4EgyAfeMHtyDjxjxUNmbJa,2023-12-15 18:37:51+00:00,willexmen,ios,81926,SE,83.191.119.210,unknown,BLOW UP,EST Gee,MAD,trackdone,unexpected-exit-while-paused,True,False,True
spotify:track:4EgyAfeMHtyDjxjxUNmbJa,2023-12-16 16:56:02+00:00,willexmen,ios,71869,SE,83.191.119.210,unknown,BLOW UP,EST Gee,MAD,appload,trackdone,True,False,True
spotify:track:7GEidxhfGNteiW9n0kLyxH,2023-12-16 17:01:43+00:00,willexmen,ios,340480,SE,83.191.119.210,unknown,"Move That Dope (feat. Pharrell, Pusha T & Casino)",Future,Honest,trackdone,trackdone,True,False,True
spotify:track:6MSihuO1ylprVatM3DwmRo,2023-12-16 17:03:17+00:00,willexmen,ios,92636,SE,83.191.119.210,unknown,Going Viral (feat. Lil Boosie),Kodak Black,Going Viral (feat. Lil Boosie),trackdone,fwdbtn,True,True,True
spotify:track:6NGsEP6u23ocnc44PGyYdY,2023-12-16 17:03:19+00:00,willexmen,ios,1648,SE,83.191.119.210,unknown,DROP TOP,EST Gee,MAD,fwdbtn,fwdbtn,True,True,True
spotify:track:7iYUg5QiKyDb9sSsruktOc,2023-12-16 17:03:20+00:00,willexmen,ios,1648,SE,83.191.119.210,unknown,Inxanity,$teven Cannon,Inxanity,fwdbtn,fwdbtn,True,True,True
spotify:track:3z6669ONrh67OIe8fDwpzS,2023-12-16 17:03:22+00:00,willexmen,ios,1602,SE,83.191.119.210,unknown,Turned to Stone,Harms Way,Rust,fwdbtn,fwdbtn,True,True,True
spotify:track:6EYALUKGRUnoIQLAeGs1J0,2023-12-16 17:03:23+00:00,willexmen,ios,510,SE,83.191.119.210,unknown,Play for keeps,La Capone,Seperate Myself,fwdbtn,backbtn,True,True,True
spotify:track:3z6669ONrh67OIe8fDwpzS,2023-12-16 17:03:32+00:00,willexmen,ios,9798,SE,83.191.119.210,unknown,Turned to Stone,Harms Way,Rust,backbtn,endplay,True,True,True
spotify:track:1jVMPl5F9bQWbU1OvaEWKT,2023-12-16 17:04:18+00:00,willexmen,ios,45023,SE,83.191.119.210,unknown,Only Love,40 Winks,Project Mooncircle 10th Anniversary Compilation,playbtn,fwdbtn,True,True,True
spotify:track:6Ad7WTkvAC1800UGZ7gISb,2023-12-16 17:04:31+00:00,willexmen,ios,13537,SE,83.191.119.210,unknown,Trust Nobody,070 Shake,Trust Nobody,fwdbtn,fwdbtn,True,True,True
spotify:track:7qqtYJj2vaSiZcYq4AyIne,2023-12-16 17:04:39+00:00,willexmen,ios,7592,SE,83.191.119.210,unknown,On My Grind,Tunji Ige,Missed Calls,fwdbtn,fwdbtn,True,True,True
spotify:track:26CfdVmYf0hNvP6SJXF0vQ,2023-12-16 17:08:43+00:00,willexmen,ios,244946,SE,83.191.119.210,unknown,Lemon Glow,Beach House,7,fwdbtn,trackdone,True,False,True
spotify:track:14ID5E8if2QEuaoTOKLiHN,2023-12-16 17:11:11+00:00,willexmen,ios,133781,SE,83.191.119.210,unknown,Looking At My Scale,Payroll Giovanni,Back 2 The Ba$ics,trackdone,fwdbtn,True,True,True
spotify:track:1hL3kD8Ab2erZ1s4joZQPi,2023-12-16 17:11:15+00:00,willexmen,ios,3947,SE,83.191.119.210,unknown,Rag Round My Skull,$uicideboy$,7th or St. Tammany,fwdbtn,fwdbtn,True,True,True
spotify:track:0dyKkznihXttjIGF8wSP1u,2023-12-16 17:11:17+00:00,willexmen,ios,1857,SE,83.191.119.210,unknown,Freedom (feat. the Freedom Choir),City Fidelia,FreeDumb,fwdbtn,fwdbtn,True,True,True
spotify:track:754WgEesWgssZG3XzU9XcG,2023-12-16 17:12:32+00:00,willexmen,ios,74164,SE,83.191.119.210,unknown,Nuclear,Mike Oldfield,Man On The Rocks,fwdbtn,fwdbtn,True,True,True
spotify:track:6OWsI6T1m3tZ77WcAyo9GT,2023-12-16 17:17:21+00:00,willexmen,ios,289920,SE,83.191.119.210,unknown,If Possible,Soilwork,Stabbing the Drama,fwdbtn,trackdone,True,False,True
spotify:track:3gRlmtdCyNoKiyozn2pqc9,2023-12-16 17:21:28+00:00,willexmen,ios,246440,SE,83.191.119.210,unknown,Mathematics,Mos Def,Black On Both Sides,trackdone,trackdone,True,False,True
spotify:track:11gXs1fmRhR5Q6PxD3Lhr4,2023-12-16 17:22:31+00:00,willexmen,ios,62829,SE,83.191.119.210,unknown,Girls That Dance,Masego,The Pink Polo EP,trackdone,endplay,True,True,True
spotify:track:41mzryVlFLlz6b1BCtJAjx,2023-12-16 17:26:00+00:00,willexmen,ios,209253,SE,83.191.119.210,unknown,Light It Up,Young Thug,So Much Fun,playbtn,trackdone,True,False,True
spotify:track:2FZ4Ac2OfaZWdv1BKibjVR,2023-12-16 17:29:46+00:00,willexmen,ios,224018,SE,83.191.119.210,unknown,Real (feat. Sarah Green),Lupe Fiasco,Lupe Fiasco's Food & Liquor,trackdone,fwdbtn,True,True,True
spotify:track:4XFykLS5W3LCvEQ5QfU01P,2023-12-16 17:32:31+00:00,willexmen,ios,165511,SE,83.191.119.210,unknown,Stabbing the Drama,Soilwork,Stabbing the Drama,fwdbtn,fwdbtn,True,True,True
spotify:track:0mmmP5zNeLS6wRvo0MRVwJ,2023-12-16 17:35:21+00:00,willexmen,ios,170635,SE,83.191.119.210,unknown,Semi On Em,Gucci Mane,Big Gucci Sosa,fwdbtn,trackdone,True,False,True
spotify:track:7kLEVZfLEuGrR0wcPLxqhM,2023-12-16 17:38:32+00:00,willexmen,ios,189960,SE,83.191.119.210,unknown,Scrape,Unsane,"Scattered, Smothered & Covered",trackdone,trackdone,True,False,True
spotify:track:0aBBIonGDbOcEyntUARrUV,2023-12-16 17:42:38+00:00,willexmen,ios,245838,SE,83.191.119.210,unknown,Gemini,Elder,Dead Roots Stirring,trackdone,fwdbtn,True,True,True
spotify:track:0rhwoI1WTSuXNQSdXOUnkt,2023-12-16 17:44:13+00:00,willexmen,ios,94505,SE,83.191.119.210,unknown,Road Run (feat. Shoreline Mafia),ALLBLACK,Outcalls,fwdbtn,fwdbtn,True,True,True
spotify:track:1f5cbQtDrykjarZVrShaDI,2023-12-16 17:44:15+00:00,willexmen,ios,1811,SE,83.191.119.210,unknown,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,The Bigger Artist,fwdbtn,fwdbtn,True,True,True
spotify:track:5XL1A1u2h0soVQtoUa8NdS,2023-12-16 17:46:27+00:00,willexmen,ios,133700,SE,83.191.119.210,unknown,Dog Sht,BigWalkDog,Dog Sht,fwdbtn,trackdone,True,False,True
spotify:track:0tISnxqgVmxqhVghsTi2Rr,2023-12-16 17:46:56+00:00,willexmen,ios,27294,SE,83.191.119.210,unknown,With Them,Young Thug,Slime Season 3,trackdone,fwdbtn,True,True,True
spotify:track:6t5zloC7h0EQllwYph9brV,2023-12-16 17:48:17+00:00,willexmen,ios,80805,SE,83.191.119.210,unknown,Hardest To Love,The Weeknd,After Hours,fwdbtn,endplay,True,True,True
spotify:track:4jfD1PakBuhp8cjHGiQcMY,2023-12-16 17:48:22+00:00,willexmen,ios,4272,SE,83.191.119.210,unknown,Teenage Bliss,Kite,Teenage Bliss / Bowie '95,playbtn,fwdbtn,True,True,True
spotify:track:0sXvjZV7p4uvyPN4uQo3FH,2023-12-16 17:50:37+00:00,willexmen,ios,135575,SE,83.191.119.210,unknown,Neon Gravestones,Twenty One Pilots,Trench,fwdbtn,trackdone,True,False,True
spotify:track:5REROwBMigNwR0nTeTSg4W,2023-12-16 17:53:42+00:00,willexmen,ios,184790,SE,83.191.119.210,unknown,Demons & Goblins (feat. Meek Mill),Fivio Foreign,800 BC,trackdone,trackdone,True,False,True
spotify:track:3Wk4qCyx4m5aoafRxftp43,2023-12-16 17:55:18+00:00,willexmen,ios,93993,SE,83.191.119.210,unknown,Hatin,Rico Nasty,Anger Management,trackdone,fwdbtn,True,True,True
spotify:track:5EItmTRO8I43fU5HRhceAu,2023-12-16 17:55:19+00:00,willexmen,ios,1462,SE,83.191.119.210,unknown,Abyssus,Hnrk,wave 001,fwdbtn,fwdbtn,True,True,True
spotify:track:72Dd7GCaepMi8ktuXxmSZF,2023-12-16 17:55:27+00:00,willexmen,ios,7709,SE,83.191.119.210,unknown,If It Feels Good (Then It Must Be),Leon Bridges,Good Thing,fwdbtn,fwdbtn,True,True,True
spotify:track:3HgA5R5alihocnOYE9ihpS,2023-12-16 17:55:28+00:00,willexmen,ios,1486,SE,83.191.119.210,unknown,Hard Piano,Pusha T,DAYTONA,fwdbtn,fwdbtn,True,True,True
spotify:track:4P5MpvsSnNbEcAv3J1oiMP,2023-12-16 17:55:30+00:00,willexmen,ios,2391,SE,83.191.119.210,unknown,Treetop,Clams Casino,Rainforest (Deluxe Edition),fwdbtn,fwdbtn,True,True,True
spotify:track:4J4LjEe33yN6gLmPib0nqz,2023-12-16 17:55:43+00:00,willexmen,ios,12561,SE,83.191.119.210,unknown,Time for Heroes,The Libertines,Up the Bracket,fwdbtn,fwdbtn,True,True,True
spotify:track:6jSlBXOPo6VFW4OAVK3luj,2023-12-16 17:55:44+00:00,willexmen,ios,1207,SE,83.191.119.210,unknown,Anthem,Raised Fist,Anthems,fwdbtn,fwdbtn,True,True,True
spotify:track:7bUcBztfGqO7cSI2gMZeCI,2023-12-16 17:55:45+00:00,willexmen,ios,1068,SE,83.191.119.210,unknown,Opps (with Yugen Blakrok),Vince Staples,Black Panther The Album Music From And Inspired By,fwdbtn,backbtn,True,True,True
spotify:track:6jSlBXOPo6VFW4OAVK3luj,2023-12-16 17:58:36+00:00,willexmen,ios,171238,SE,83.191.119.210,unknown,Anthem,Raised Fist,Anthems,backbtn,trackdone,True,False,True
spotify:track:7bUcBztfGqO7cSI2gMZeCI,2023-12-16 18:01:37+00:00,willexmen,ios,180893,SE,83.191.119.210,unknown,Opps (with Yugen Blakrok),Vince Staples,Black Panther The Album Music From And Inspired By,trackdone,trackdone,True,False,True
spotify:track:4pK2vK4FGohK69Gih0n1y2,2023-12-16 18:04:38+00:00,willexmen,ios,179835,SE,83.191.119.210,unknown,Centrum,Jonathan Johansson,Klagomuren,trackdone,fwdbtn,True,True,True
spotify:track:1xFHst3HwjbzxFB4IEYws0,2023-12-16 18:06:26+00:00,willexmen,ios,108773,SE,83.191.119.210,unknown,Succubus,Craig Xen,Succubus,fwdbtn,trackdone,True,False,True
spotify:track:6Qd2OmDq4rPFQi7qCHapTx,2023-12-16 18:09:21+00:00,willexmen,ios,174374,SE,83.191.119.210,unknown,LooseScrew,BONES,SparrowsCreek,trackdone,trackdone,True,False,True
spotify:track:5GWQw74fr86tHask8d01Lg,2023-12-16 18:12:13+00:00,willexmen,ios,171653,SE,83.191.119.210,unknown,Disco Shit (feat. Freddie Gibbs),03 Greedo,Netflix & Deal,trackdone,trackdone,True,False,True
spotify:track:4Jh8aypoHtCqv5GPzZxPsz,2023-12-16 18:15:44+00:00,willexmen,ios,210562,SE,83.191.119.210,unknown,Chain Smoker,Chance the Rapper,Acid Rap,trackdone,trackdone,True,False,True
spotify:track:6wTo0Z5PVnIrvaDAXlixXD,2023-12-16 18:19:00+00:00,willexmen,ios,195001,SE,83.191.119.210,unknown,По краю острова,Ploho,По Краю Острова,trackdone,fwdbtn,True,True,True
spotify:track:6Xs9eaQXZaKfPkEyETxNl6,2023-12-16 18:19:03+00:00,willexmen,ios,3065,SE,83.191.119.210,unknown,Night,Ludovico Einaudi,Elements,fwdbtn,fwdbtn,True,True,True
spotify:track:6CmpZfKUQ2KerzBFZ3QKFr,2023-12-16 18:19:06+00:00,willexmen,ios,2275,SE,83.191.119.210,unknown,Mr. Morale,Kendrick Lamar,Mr. Morale & The Big Steppers,fwdbtn,fwdbtn,True,True,True
spotify:track:2714ySK1pbOIGZwABmRyAz,2023-12-16 18:19:41+00:00,willexmen,ios,35062,SE,83.191.119.210,unknown,"New Phone, Who Dis?",Flatbush Zombies,3001: A Laced Odyssey,fwdbtn,fwdbtn,True,True,True
spotify:track:4Dvkj6JhhA12EX05fT7y2e,2023-12-16 18:19:43+00:00,willexmen,ios,1718,SE,83.191.119.210,unknown,As It Was,Harry Styles,Harry's House,fwdbtn,fwdbtn,True,True,True
spotify:track:25Syi9wnfn6ZGAmiOBypPq,2023-12-16 18:23:32+00:00,willexmen,ios,229760,SE,83.191.119.210,unknown,Motion Sickness,Phoebe Bridgers,Stranger in the Alps,fwdbtn,trackdone,True,False,True
spotify:track:0ofKF8HdQu845qKzRRCjtt,2023-12-16 18:26:56+00:00,willexmen,ios,203438,SE,83.191.119.210,unknown,Grace (feat. 42 Dugg),Lil Baby,My Turn,trackdone,trackdone,True,False,True
